Transaction_Type,Age,Income,Transaction_Amount,Transactions_24h,Account_Age_Years,Distance_From_Home_Km,Device_Risk_Score,International_Transaction,Is_Fraud
ATM,24.0,88703.31,983.54,3.0,4.11,22.48,0.116,Yes,0
POS,30.0,113598.86,2368.21,4.0,9.8,77.79,0.042,No,0
Transfer,39.0,50010.26,138655.8,6.0,7.77,19.99,0.256,No,0
POS,29.0,33763.13,5675.63,7.0,4.4,18.55,0.378,Yes,0
Online,33.0,40728.36,5836.97,4.0,5.01,9.21,0.081,No,0
Transfer,41.0,55682.47,398.92,3.0,5.89,4.36,0.34,No,0
ATM,32.0,22271.8,,3.0,3.88,38.5,0.234,Yes,0
ATM,38.0,34779.84,1357.35,2.0,6.64,24.49,0.193,No,0
Online,54.0,85829.64,3166.36,6.0,6.47,14.42,0.269,No,0
POS,34.0,28109.09,977.64,3.0,1.66,24.12,0.172,No,0
POS,49.0,32123.93,3623.45,8.0,3.53,37.99,0.222,No,0
Transfer,42.0,,32060.98,5.0,3.64,22.56,0.355,No,1
POS,20.0,51114.92,2839.01,8.0,4.23,30.24,0.235,No,0
ATM,24.0,33967.72,1578.45,2.0,5.81,8.56,0.187,No,0
POS,27.0,46585.83,1982.05,4.0,5.54,17.33,0.102,No,1
Online,27.0,59159.39,575.37,5.0,2.84,52.76,0.271,No,0
POS,35.0,108778.73,10646.74,7.0,9.02,45.33,0.156,No,0
Online,43.0,42514.81,3418.4,3.0,5.02,9.46,0.142,No,0
ATM,50.0,44171.45,875.81,4.0,9.39,7.9,0.529,Yes,0
POS,39.0,89480.08,904.81,10.0,9.32,7.87,0.193,No,0
ATM,31.0,35146.95,2538.5,2.0,1.82,32.75,0.266,Yes,0
POS,18.0,24796.53,6348.93,6.0,3.53,2.13,0.173,No,0
Transfer,37.0,50363.89,120814.03,7.0,3.75,18.78,0.602,Yes,0
Transfer,36.0,73035.18,7611.8,3.0,5.94,38.38,0.138,No,0
ATM,38.0,,2281.1,,7.18,10.39,0.086,Yes,0
Online,59.0,43077.7,986.14,1.0,5.44,15.22,0.276,No,0
POS,50.0,23450.35,1566.12,4.0,3.35,3.98,0.209,No,0
Online,45.0,43833.41,14365.72,6.0,9.95,13.39,0.03,No,0
Online,25.0,78381.05,623.8,3.0,3.68,52.39,0.167,No,0
POS,30.0,25824.14,1202.49,5.0,7.23,19.5,0.201,No,0
ATM,35.0,40307.04,6481.0,5.0,4.89,12.61,0.212,No,0
Transfer,27.0,37799.44,3104.17,2.0,4.8,16.89,0.28,No,0
Online,42.0,32874.44,1133.21,4.0,7.02,28.44,0.519,No,0
POS,40.0,50311.21,6560.61,4.0,9.63,16.33,0.15,No,0
POS,24.0,54934.95,6879.78,3.0,5.91,20.49,0.407,Yes,1
Online,49.0,54676.53,3482.26,8.0,3.53,9.92,0.24,No,1
Online,37.0,28994.27,1355.13,5.0,9.44,13.02,0.295,No,0
POS,,21455.26,1580.89,3.0,6.48,90.97,0.024,No,0
,35.0,50639.77,3323.33,2.0,5.51,62.99,0.052,No,0
POS,39.0,35837.65,673.25,3.0,8.08,32.58,0.301,No,0
POS,47.0,102914.96,9431.69,,5.97,49.9,0.263,No,0
ATM,32.0,105076.84,13687.73,2.0,12.37,20.26,0.211,No,0
ATM,45.0,110219.4,1974.54,1.0,5.01,8.01,0.311,No,0
Online,38.0,,3569.39,7.0,8.45,8.58,0.162,Yes,0
